rank,word,cefr_level_estimate,part_of_speech,vietnamese_meaning,example,example_vietnamese,ranking_basis,source_urls
1112,assertion,C1,noun,khẳng định,He made the assertion that he wasn't going to allow this behavior to go on anymore.,Anh khẳng định sẽ không để hành vi này tiếp diễn nữa.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1113,individuality,C1,noun,tính cá nhân,It's a competent essay but it lacks individuality.,Đó là một bài luận có thẩm quyền nhưng nó thiếu tính cá nhân.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1114,conformity,C1,noun,sự phù hợp,The lecturer explained why conformity was important to the topic.,Giảng viên giải thích tại sao sự phù hợp lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1115,unconventional,C1,adjective,khác thường,"She has an unconventional approach to problem-solving, often thinking outside the box for unique solutions.","Cô ấy có cách tiếp cận độc đáo để giải quyết vấn đề, thường suy nghĩ sáng tạo để tìm ra các giải pháp độc đáo.",C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1116,congregate,C1,verb,tụ tập,A crowd congregated around the entrance to the theatre,Một đám đông tụ tập quanh lối vào nhà hát,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1117,wary,C1,adjective,cảnh giác,The public remains wary of genetic engineering.,Công chúng vẫn cảnh giác với kỹ thuật di truyền.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1118,hostess,C1,noun,bà chủ,The lecturer explained why hostess was important to the topic.,Giảng viên giải thích tại sao bà chủ lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1119,perpetuate,C1,verb,kéo dài,the law perpetuated the interests of the ruling class,pháp luật duy trì lợi ích của giai cấp thống trị,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1120,naturalness,C1,noun,sự tự nhiên,The lecturer explained why naturalness was important to the topic.,Giảng viên giải thích tại sao sự tự nhiên lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1121,exhibitionist,C1,noun,người thích phô trương,The lecturer explained why exhibitionist was important to the topic.,Giảng viên giải thích tại sao người thích phô trương lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1122,effortless,C1,adjective,dễ dàng,The speaker described the situation as effortless.,Người nói mô tả tình huống này là dễ dàng.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1123,respite,C1,noun,sự nghỉ ngơi,The lecturer explained why respite was important to the topic.,Giảng viên giải thích tại sao sự nghỉ ngơi lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1124,suffice,C1,verb,đủ,The lecturer used the term “suffice” while explaining the procedure.,Giảng viên đã dùng từ “đủ” khi giải thích quy trình.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1125,purity,C1,noun,sự tinh khiết,The lecturer explained why purity was important to the topic.,Giảng viên giải thích tại sao sự tinh khiết lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1126,gruelling,C1,adjective,mệt mỏi,They have to go through gruelling training in the army.,Họ phải trải qua quá trình huấn luyện khắc nghiệt trong quân đội.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1127,plaster,C1,noun,thạch cao,He is plastering the wall,Anh ấy đang trát tường,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1128,darkroom,C1,noun,phòng tối,The lecturer explained why darkroom was important to the topic.,Giảng viên giải thích tại sao phòng tối lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1129,specimen,C1,noun,mẫu vật,Astronauts brought back specimens of moon rock,Các phi hành gia mang về mẫu đá mặt trăng,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1130,explanatory,C1,adjective,giải thích,There are explanatory notes with the diagram.,Có ghi chú giải thích kèm theo sơ đồ.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1131,knowledgeable,C1,adjective,có kiến ​​thức,He is quite knowledgeable,Anh ấy khá hiểu biết,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1132,hanging,C1,noun,treo,The lecturer explained why hanging was important to the topic.,Giảng viên giải thích tại sao treo lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1133,formulate,C1,verb,hình thành,Think carefully before you formulate your research question.,Hãy suy nghĩ cẩn thận trước khi bạn hình thành câu hỏi nghiên cứu của mình.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1134,endorsement,C1,noun,sự chứng thực,The lecturer explained why endorsement was important to the topic.,Giảng viên giải thích tại sao sự chứng thực lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1135,stretching,C1,noun,kéo dài,The lecturer explained why stretching was important to the topic.,Giảng viên giải thích tại sao kéo dài lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1136,shambles,C1,noun,sự hỗn loạn,The lecturer explained why shambles was important to the topic.,Giảng viên giải thích tại sao sự hỗn loạn lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1137,claustrophobic,C1,adjective,ngột ngạt,The speaker described the situation as claustrophobic.,Người nói mô tả tình huống này là ngột ngạt.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1138,claustrophobia,C1,noun,chứng sợ bị nhốt,The lecturer explained why claustrophobia was important to the topic.,Giảng viên giải thích tại sao chứng sợ bị nhốt lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1139,headstrong,C1,adjective,cứng đầu,The speaker described the situation as headstrong.,Người nói mô tả tình huống này là cứng đầu.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1140,tactful,C1,adjective,khéo léo,The speaker described the situation as tactful.,Người nói mô tả tình huống này là khéo léo.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1141,blister,C1,noun,vết phồng rộp,The lecturer explained why blister was important to the topic.,Giảng viên giải thích tại sao vết phồng rộp lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1142,sponsorship,C1,noun,tài trợ,We received sponsorship from the company.,Chúng tôi đã nhận được tài trợ từ công ty.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1143,rediscover,C1,verb,khám phá lại,The lecturer used the term “rediscover” while explaining the procedure.,Giảng viên đã dùng từ “khám phá lại” khi giải thích quy trình.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1144,brainwash,C1,verb,tẩy não,The cult leader used techniques of brainwash to control his followers.,Người đứng đầu giáo phái đã sử dụng kỹ thuật tẩy não để kiểm soát những người theo mình.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1145,brainwashing,C1,noun,tẩy não,The lecturer explained why brainwashing was important to the topic.,Giảng viên giải thích tại sao tẩy não lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1146,implicate,C1,verb,ngụ ý,The lecturer used the term “implicate” while explaining the procedure.,Giảng viên đã dùng từ “ngụ ý” khi giải thích quy trình.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1147,malfunction,C1,verb,trục trặc,The equipment malfunctions at temperatures below freezing.,Thiết bị gặp trục trặc ở nhiệt độ dưới mức đóng băng.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1148,wayside,C1,noun,bên đường,The lecturer explained why wayside was important to the topic.,Giảng viên giải thích tại sao bên đường lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1149,ghostly,C1,adjective,ma quái,The speaker described the situation as ghostly.,Người nói mô tả tình huống này là ma quái.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1150,washtub,C1,noun,bồn rửa,The lecturer explained why washtub was important to the topic.,Giảng viên giải thích tại sao bồn rửa lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1151,portable,C1,adjective,di động,It's a portable television,Đó là một chiếc tivi di động,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1152,ornamental,C1,adjective,trang trí,They have just bought an ornamental handle,Họ vừa mua một chiếc tay cầm trang trí,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1153,unmanageable,C1,adjective,không thể quản lý được,The speaker described the situation as unmanageable.,Người nói mô tả tình huống này là không thể quản lý được.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1154,appliance,C1,noun,thiết bị,These are household appliances,Đây là những thiết bị gia dụng,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1155,relinquish,C1,verb,từ bỏ,The lecturer used the term “relinquish” while explaining the procedure.,Giảng viên đã dùng từ “từ bỏ” khi giải thích quy trình.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1156,tedious,C1,adjective,tẻ nhạt,The speaker described the situation as tedious.,Người nói mô tả tình huống này là tẻ nhạt.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1157,extortion,C1,noun,tống tiền,The lecturer explained why extortion was important to the topic.,Giảng viên giải thích tại sao tống tiền lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1158,alleviate,C1,verb,làm dịu đi,A number of measures were taken to alleviate the problem.,Một số biện pháp đã được thực hiện để giảm bớt vấn đề.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1159,elaboration,C1,noun,sự xây dựng,The lecturer explained why elaboration was important to the topic.,Giảng viên giải thích tại sao sự xây dựng lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1160,detestable,C1,adjective,đáng ghét,The speaker described the situation as detestable.,Người nói mô tả tình huống này là đáng ghét.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1161,agreeable,C1,adjective,dễ chịu,The speaker described the situation as agreeable.,Người nói mô tả tình huống này là dễ chịu.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1162,speculative,C1,adjective,suy đoán,The speaker described the situation as speculative.,Người nói mô tả tình huống này là suy đoán.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1163,peacock,C1,noun,con công,The lecturer explained why peacock was important to the topic.,Giảng viên giải thích tại sao con công lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1164,disdain,C1,noun,khinh thường,"The older musicians disdain the new, rockinfluenced music","Các nhạc sĩ lớn tuổi coi thường âm nhạc mới, chịu ảnh hưởng của rock",C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1165,reenact,C1,verb,diễn lại,The lecturer used the term “reenact” while explaining the procedure.,Giảng viên đã dùng từ “diễn lại” khi giải thích quy trình.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1166,torment,C1,verb,sự đau khổ,The lecturer used the term “torment” while explaining the procedure.,Giảng viên đã dùng từ “sự đau khổ” khi giải thích quy trình.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1167,extravagance,C1,noun,sự xa hoa,It is such extravagance to waste money on parties,Lãng phí tiền bạc cho các bữa tiệc là điều quá lãng phí,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1168,exploitation,C1,noun,sự bóc lột,The exploitation of workers,Sự bóc lột công nhân,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1169,offspring,C1,noun,con cái,Parents with the disease are likely to pass it on to their offspring.,Cha mẹ mắc bệnh có khả năng truyền bệnh cho con cái.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1170,collaborate,C1,verb,cộng tác,Everyone in the team needs to collaborate on this project.,Mọi người trong nhóm cần hợp tác trong dự án này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1171,collaborator,C1,noun,cộng tác viên,"For eight or nine years we were not only collaborators and partners, we were best friends.","Trong tám hoặc chín năm, chúng tôi không chỉ là cộng tác viên và đối tác mà còn là bạn thân.",C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1172,collaborative,C1,adjective,hợp tác,The presentation was a collaborative effort by all the students in the class,Bài thuyết trình là sự nỗ lực chung của tất cả học sinh trong lớp,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1173,wrangle,C1,verb,cãi nhau,The lecturer used the term “wrangle” while explaining the procedure.,Giảng viên đã dùng từ “cãi nhau” khi giải thích quy trình.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1174,advantageous,C1,adjective,thuận lợi,The speaker described the situation as advantageous.,Người nói mô tả tình huống này là thuận lợi.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1175,parasite,C1,noun,ký sinh trùng,Raw fish can contain parasites,Cá sống có thể chứa ký sinh trùng,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1176,fanciful,C1,adjective,huyền ảo,The speaker described the situation as fanciful.,Người nói mô tả tình huống này là huyền ảo.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1177,customary,C1,adjective,thông lệ,The speaker described the situation as customary.,Người nói mô tả tình huống này là thông lệ.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1178,insightful,C1,adjective,sâu sắc,The speaker described the situation as insightful.,Người nói mô tả tình huống này là sâu sắc.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1179,notable,C1,adjective,đáng chú ý,Getting both sides to agree was a notable achievement.,Việc cả hai bên đồng ý là một thành tựu đáng chú ý.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1180,vicious,C1,adjective,luẩn quẩn,I believe he is a vicious dog.,Tôi tin rằng anh ta là một con chó hung ác.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1181,withdrawn,C1,adjective,rút lại,The speaker described the situation as withdrawn.,Người nói mô tả tình huống này là rút lại.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1182,torturous,C1,adjective,tra tấn,The speaker described the situation as torturous.,Người nói mô tả tình huống này là tra tấn.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1183,depiction,C1,noun,sự miêu tả,I disapprove of the depiction of violence on television,Tôi không đồng tình với việc mô tả bạo lực trên truyền hình,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1184,upheaval,C1,noun,sự biến động,COVID-19 has created an economic upheaval,Covid-19 đã tạo ra biến động kinh tế,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1185,shortlist,C1,verb,danh sách rút gọn,The lecturer used the term “shortlist” while explaining the procedure.,Giảng viên đã dùng từ “danh sách rút gọn” khi giải thích quy trình.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1186,uneventful,C1,adjective,không có chuyện gì,The speaker described the situation as uneventful.,Người nói mô tả tình huống này là không có chuyện gì.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1187,pertinent,C1,adjective,thích hợp,The speaker described the situation as pertinent.,Người nói mô tả tình huống này là thích hợp.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1188,daydream,C1,noun,giấc mơ,The lecturer explained why daydream was important to the topic.,Giảng viên giải thích tại sao giấc mơ lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1189,protagonist,C1,noun,nhân vật chính,The lecturer explained why protagonist was important to the topic.,Giảng viên giải thích tại sao nhân vật chính lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1190,simplicity,C1,noun,sự đơn giản,The lecturer explained why simplicity was important to the topic.,Giảng viên giải thích tại sao sự đơn giản lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
1191,blockbuster,C1,noun,phim bom tấn,The lecturer explained why blockbuster was important to the topic.,Giảng viên giải thích tại sao phim bom tấn lại quan trọng đối với chủ đề này.,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/filiph/english_words
